trial_num,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
0.0,0.4433428645133972,4.703261375427246,0.4429999887943268,4.744269847869873,0.4329999983310699,4.780150890350342
1.0,0.8809714317321777,3.702158451080322,0.6908000111579895,4.656423091888428,0.6883999705314636,4.706149101257324
2.0,0.8597142696380615,3.819264888763428,0.6822999715805054,4.732263088226318,0.6732000112533569,4.771816253662109
3.0,0.8402000069618225,3.692172765731812,0.6851999759674072,4.4423418045043945,0.6859999895095825,4.462482929229736
4.0,0.5382571220397949,4.698363780975342,0.5361999869346619,4.740788459777832,0.5345999598503113,4.769821643829346
5.0,0.942799985408783,3.4991910457611084,0.7071999907493591,4.668205738067627,0.7033999562263489,4.714783668518066
6.0,0.5677428841590881,4.735581874847412,0.5679999589920044,4.777931213378906,0.564799964427948,4.807291507720947
7.0,0.4386000037193298,4.6737060546875,0.4393999874591827,4.714561939239502,0.4327999949455261,4.751915454864502
8.0,0.8066571354866028,4.608504295349121,0.8047999739646912,4.648592948913574,0.8035999536514282,4.682789325714111
9.0,0.8066571354866028,4.660361289978027,0.8047999739646912,4.700896739959717,0.8035999536514282,4.733278751373291
10.0,0.8949142694473267,3.543266773223877,0.6829999685287476,4.57150411605835,0.676800012588501,4.632211685180664
11.0,0.7953428626060486,4.389641284942627,0.7861999869346619,4.503347873687744,0.7791999578475952,4.548032760620117
12.0,0.5021428465843201,4.684706687927246,0.5041999816894531,4.725283145904541,0.4939999878406524,4.763469696044922
13.0,0.4192857146263122,4.700861930847168,0.4235000014305115,4.742934226989746,0.4165999889373779,4.774182796478272
14.0,0.6289142966270447,4.673919677734375,0.6270999908447266,4.721335411071777,0.626800000667572,4.753635406494141
15.0,0.5677428841590881,4.702338695526123,0.5679999589920044,4.744720458984375,0.564799964427948,4.773598670959473
16.0,0.806685745716095,4.574597358703613,0.8047999739646912,4.620233058929443,0.8035999536514282,4.651905059814453
17.0,0.676971435546875,4.51051664352417,0.6324999928474426,4.7105488777160645,0.6399999856948853,4.725754737854004
18.0,0.9810000061988832,3.22849702835083,0.7202999591827393,4.528637886047363,0.7116000056266785,4.587365627288818
19.0,0.5061428546905518,4.700273036956787,0.5040000081062317,4.743033409118652,0.5091999769210815,4.771207332611084
20.0,0.8083142638206482,4.469395160675049,0.8048999905586243,4.526418685913086,0.8027999997138977,4.566612720489502
21.0,0.92997145652771,3.55837631225586,0.7074999809265137,4.654330253601074,0.7057999968528748,4.703872203826904
22.0,0.9432857036590576,3.345083713531494,0.7076999545097351,4.4961371421813965,0.7121999859809875,4.521914958953857
23.0,0.7112857103347778,4.537191867828369,0.6873999834060669,4.688279151916504,0.6746000051498413,4.741023540496826
24.0,0.8066571354866028,4.574006080627441,0.8047999739646912,4.617528915405273,0.8035999536514282,4.644365310668945
25.0,0.7021142840385437,4.637404918670654,0.6839999556541443,4.696131229400635,0.6825999617576599,4.727108001708984
26.0,0.9130856990814208,3.634675264358521,0.6962999701499939,4.686117172241211,0.6987999677658081,4.700357913970947
27.0,0.7607142925262451,3.982994794845581,0.6593999862670898,4.535243034362793,0.6660000085830688,4.562229156494141
28.0,0.4465714395046234,4.693519115447998,0.4457999765872955,4.737494945526123,0.4495999813079834,4.766308307647705
29.0,0.6934857368469238,4.386524677276611,0.6675999760627747,4.581912994384766,0.6651999950408936,4.641185760498047
30.0,0.5677428841590881,4.69146728515625,0.5679999589920044,4.733887672424316,0.564799964427948,4.763063430786133
31.0,0.806685745716095,4.588212013244629,0.8047999739646912,4.637264728546143,0.8035999536514282,4.665619373321533
32.0,0.3186571300029754,4.693325519561768,0.3225999772548675,4.733850479125977,0.3107999861240387,4.767104148864746
33.0,0.7791428565979004,4.002504348754883,0.6631999611854553,4.563850402832031,0.6643999814987183,4.602383613586426
34.0,0.8066571354866028,4.597239017486572,0.8047999739646912,4.642089366912842,0.8035999536514282,4.667790412902832
35.0,0.5981428623199463,4.716983318328857,0.611299991607666,4.766359329223633,0.6161999702453613,4.753629684448242
36.0,0.702828586101532,4.569063186645508,0.7019000053405762,4.6314697265625,0.6958000063896179,4.665550708770752
37.0,0.806685745716095,4.576579570770264,0.8047999739646912,4.621664047241211,0.8037999868392944,4.650454521179199
38.0,0.5677428841590881,4.696199417114258,0.5679999589920044,4.7391886711120605,0.564799964427948,4.767538547515869
39.0,0.628085732460022,4.690482139587402,0.6326000094413757,4.732133388519287,0.6259999871253967,4.762994289398193
40.0,0.6233428716659546,4.6921067237854,0.6259999871253967,4.734589576721191,0.6143999695777893,4.7629170417785645
41.0,0.628085732460022,4.682905197143555,0.6326000094413757,4.7248735427856445,0.6259999871253967,4.755680561065674
42.0,0.5767999887466431,4.709962844848633,0.5737999677658081,4.752382278442383,0.5663999915122986,4.781544208526611
43.0,0.5057142972946167,4.705158710479736,0.5131999850273132,4.746816635131836,0.4991999864578247,4.778645038604736
44.0,0.5674571394920349,4.711639881134033,0.5676999688148499,4.754741668701172,0.5637999773025513,4.783969879150391
45.0,0.8066571354866028,4.5452656745910645,0.8047999739646912,4.585511684417725,0.8035999536514282,4.617213726043701
46.0,0.598628580570221,4.6709065437316895,0.5916000008583069,4.716595649719238,0.5953999757766724,4.743814945220947
47.0,0.6689714193344116,4.471676349639893,0.6419999599456787,4.618664741516113,0.6311999559402466,4.644922256469727
48.0,0.954542875289917,3.403218984603882,0.7053999900817871,4.62932825088501,0.7093999981880188,4.623283386230469
49.0,0.628600001335144,4.676809787750244,0.6251999735832214,4.719659328460693,0.6240000128746033,4.747492790222168
